Local time,Open,High,Low,Close,Volume
10.01.2020 02:30:00.000 GMT+0530,1.30662,1.30677,1.30623,1.30660,1309.28
10.01.2020 03:30:00.000 GMT+0530,1.30660,1.30689,1.30632,1.30674,1023.26
10.01.2020 04:30:00.000 GMT+0530,1.30675,1.30707,1.30665,1.30691,2522.5
10.01.2020 05:30:00.000 GMT+0530,1.30691,1.30722,1.30653,1.30676,3107.96
10.01.2020 06:30:00.000 GMT+0530,1.30675,1.30692,1.30595,1.30631,3345.1499
10.01.2020 07:30:00.000 GMT+0530,1.30634,1.30663,1.30601,1.30654,2565.8201
10.01.2020 08:30:00.000 GMT+0530,1.30656,1.30685,1.30650,1.30679,1653.52
10.01.2020 09:30:00.000 GMT+0530,1.30678,1.30816,1.30663,1.30760,3188.3501
10.01.2020 10:30:00.000 GMT+0530,1.30761,1.30834,1.30723,1.30821,2848.0701
10.01.2020 11:30:00.000 GMT+0530,1.30821,1.30911,1.30799,1.30842,3592.47
10.01.2020 12:30:00.000 GMT+0530,1.30847,1.30868,1.30550,1.30595,6574.8101
10.01.2020 13:30:00.000 GMT+0530,1.30595,1.30713,1.30479,1.30666,9977.4902
10.01.2020 14:30:00.000 GMT+0530,1.30665,1.30884,1.30509,1.30675,14095.4102
10.01.2020 15:30:00.000 GMT+0530,1.30676,1.30727,1.30500,1.30559,11869
10.01.2020 16:30:00.000 GMT+0530,1.30559,1.30802,1.30539,1.30730,9158.5498
10.01.2020 17:30:00.000 GMT+0530,1.30729,1.30880,1.30714,1.30841,7671.8999
10.01.2020 18:30:00.000 GMT+0530,1.30839,1.30968,1.30646,1.30691,12663.5703
10.01.2020 19:30:00.000 GMT+0530,1.30691,1.30729,1.30552,1.30647,11974.0898
10.01.2020 20:30:00.000 GMT+0530,1.30648,1.30776,1.30566,1.30608,13606.9199
10.01.2020 21:30:00.000 GMT+0530,1.30608,1.30621,1.30422,1.30584,8571.7598
10.01.2020 22:30:00.000 GMT+0530,1.30585,1.30696,1.30515,1.30615,5677.75
10.01.2020 23:30:00.000 GMT+0530,1.30613,1.30635,1.30540,1.30548,2918.98
11.01.2020 00:30:00.000 GMT+0530,1.30549,1.30629,1.30534,1.30617,3897.1101
11.01.2020 01:30:00.000 GMT+0530,1.30617,1.30622,1.30535,1.30554,3163.5
11.01.2020 02:30:00.000 GMT+0530,1.30555,1.30643,1.30535,1.30569,2252.4199
11.01.2020 03:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
11.01.2020 04:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
11.01.2020 05:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
11.01.2020 06:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
11.01.2020 07:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
11.01.2020 08:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
11.01.2020 09:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
11.01.2020 10:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
11.01.2020 11:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
11.01.2020 12:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
11.01.2020 13:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
11.01.2020 14:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
11.01.2020 15:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
11.01.2020 16:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
11.01.2020 17:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
11.01.2020 18:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
11.01.2020 19:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
11.01.2020 20:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
11.01.2020 21:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
11.01.2020 22:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
11.01.2020 23:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
12.01.2020 00:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
12.01.2020 01:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
12.01.2020 02:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
12.01.2020 03:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
12.01.2020 04:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
12.01.2020 05:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
12.01.2020 06:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
12.01.2020 07:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
12.01.2020 08:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
12.01.2020 09:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
12.01.2020 10:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
12.01.2020 11:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
12.01.2020 12:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
12.01.2020 13:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
12.01.2020 14:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
12.01.2020 15:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
12.01.2020 16:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
12.01.2020 17:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
12.01.2020 18:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
12.01.2020 19:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
12.01.2020 20:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
12.01.2020 21:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
12.01.2020 22:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
12.01.2020 23:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
13.01.2020 00:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
13.01.2020 01:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
13.01.2020 02:30:00.000 GMT+0530,1.30569,1.30569,1.30569,1.30569,0
13.01.2020 03:30:00.000 GMT+0530,1.30347,1.30419,1.30287,1.30360,1628.54
13.01.2020 04:30:00.000 GMT+0530,1.30360,1.30441,1.30333,1.30432,2361.4099
13.01.2020 05:30:00.000 GMT+0530,1.30432,1.30450,1.30355,1.30364,3120.3999
13.01.2020 06:30:00.000 GMT+0530,1.30366,1.30388,1.30317,1.30388,2500.8
13.01.2020 07:30:00.000 GMT+0530,1.30387,1.30387,1.30325,1.30340,2476.6001
13.01.2020 08:30:00.000 GMT+0530,1.30340,1.30396,1.30307,1.30390,2815.03
13.01.2020 09:30:00.000 GMT+0530,1.30391,1.30410,1.30356,1.30356,2865.3999
13.01.2020 10:30:00.000 GMT+0530,1.30357,1.30359,1.30249,1.30324,2695.6299
